,ID,Definicija,POS,NEG
0,ENG30-03574555-n,zgrada u koji se nalaziti organizacioni jedinica neki grana javan poslovanje ,0.00035780628,0.00012997772
1,ENG30-07810907-n,pripremljen dodatak jela za poboljšanje ukus ,0.0006723669,0.00029566162
2,ENG30-00721431-n,"u nečiji prilika , mogućnost ",0.0011473044,0.002745415
3,ENG30-00473799-v,ostati jesam još samo da se doterati neki finesa u igra plaviti . ,0.00037031717,0.00016504696
4,ENG30-00903385-v,zapad on jesam oprostiti što se nekada računati u Slobin prijatelj . ,0.00042001202,0.00017366835
5,ENG30-00900961-v,""" i najposle se oprostiti : on sklapanje ruka , ja poklon . "" ",0.00047293567,0.0003356593
6,ENG30-01987160-v,Čeličnu grdosija težak ukupno @card@ ton postaviti jesam na stub i namontirali neimar Mostogradnje . ,0.00033976638,0.00013026696
7,ENG30-01348174-v,sputati pomoću brava ,0.00311818,0.0010354858
8,ENG30-01376245-v,razmestiti na raštrkan način . ,0.0016598107,0.00072771095
9,ENG30-01382083-v,Tražiti i sakupljati . ,0.004590745,0.001753565
10,ENG30-01387022-v,uglačati turpija ,0.009890141,0.017736468
11,ENG30-01393996-v,Očistiti metenje . ,0.33724454,0.091276206
12,ENG30-01421622-v,staviti ili ubaciti u nešto . ,0.0016792546,0.0004644076
13,ENG30-01431987-v,lagano dodirivati ili maziti . ,0.0030799282,0.0011717955
14,ENG30-01437254-v,"uzrokovati ili narediti da se preneti , usmeriti ili odaslati na drugi mesto . ",0.00038113107,0.0001801704
15,ENG30-01441100-v,napraviti rupa u nešto . ,0.0013744998,0.0004095808
16,ENG30-01445932-v,"uhvatiti , odgristi ili otrgnuti pomoću zub ili kao zub . ",0.00051437435,0.00019477216
17,ENG30-01446901-v,pomerati ili ljuljati napred-nazad . ,0.0017001971,0.00093910855
18,ENG30-01371756-v,"terati , voditi noga , u sport kao što jesam futbal . ",0.00040121755,0.00024218412
19,ENG30-01370561-v,udariti noga ,0.007234067,0.006091012
20,ENG30-01391280-v,poravnati ili raširiti valjak . ,0.11987763,0.0007623029
